date,key,value
0:00,shared,11
0:00,unshared,79
1:00,shared,21
1:00,unshared,58
2:00,shared,14
2:00,unshared,47
3:00,shared,5
3:00,unshared,48
4:00,shared,2
4:00,unshared,28
5:00,shared,0
5:00,unshared,18
6:00,shared,0
6:00,unshared,18
7:00,shared,2
7:00,unshared,35
8:00,shared,6
8:00,unshared,31
9:00,shared,2
9:00,unshared,38
10:00,shared,1
10:00,unshared,38
11:00,shared,6
11:00,unshared,34
12:00,shared,3
12:00,unshared,25
13:00,shared,3
13:00,unshared,35
14:00,shared,5
14:00,unshared,52
15:00,shared,5
15:00,unshared,41
16:00,shared,9
16:00,unshared,49
17:00,shared,12
17:00,unshared,58
18:00,shared,15
18:00,unshared,71
19:00,shared,18
19:00,unshared,74
20:00,shared,25
20:00,unshared,72
21:00,shared,19
21:00,unshared,72
22:00,shared,19
22:00,unshared,98
23:00,shared,19
23:00,unshared,75
